"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","合計"
"2312 なめし革・毛皮・その他の革製品","0.011448859106878692","0.23079911905348768","0.0016436251632266105","0.004229802621023714","7.283971835455028E-4","4.7735122290033967E-4","9.909996735328703E-4","-0.004253589883460213","0.00454774239844133","0.7493876934604234","1.0"
"2511 ガラス・ガラス製品","0.008326950343780667","0.08031766714235773","0.0019238802525807517","0.032057799859951816","0.0040565302804920255","0.021722156676064176","0.07366571873710731","-0.007292898653075386","0.019866267868803772","0.7653559274919371","1.0"
"2521 セメント・セメント製品","2.8322988207032165E-4","0.020467253000058347","3.206293361151369E-4","0.004610101890079039","0.001210557500099353","0.2401825795636517","0.13620564366099364","-0.015620612304059294","6.483504935223116E-4","0.6116922669774695","1.0"
"2531 陶磁器","0.012568604562207292","0.09078110701464391","0.005883590721094045","0.04428790496300428","0.002684631613186645","0.04562417026807438","0.1579656155221633","4.6799320842115354E-4","0.0014388227929964957","0.6382975593342085","1.0"
"2591 建設用土石製品","0.0013259408958480518","0.09714852696729981","0.0013280509438251757","0.025085213970102903","0.006172416567760578","0.11033450256200662","0.3062175956681884","5.84405035710824E-4","0.0023213785447231345","0.4494819688445345","1.0"
"2599 その他の窯業・土石製品","7.834426186918762E-4","0.023867807602350757","2.9560316135454693E-4","0.0028638006566152514","6.763706898276162E-4","0.01967358245229519","0.020898241466189897","0.004555152870459715","0.006999123730223915","0.9193868747519913","1.0"
"2611 銑鉄・粗鋼","1.8750286109527886E-4","0.0068125510256767385","2.9869969121309564E-4","0.0026055548952283927","3.015758776620253E-4","0.008543952738844597","0.010852873238618176","0.030546120685082515","0.0012490878332650096","0.9386020811533141","1.0"
"2612 鉄屑","-","-","-","-","-","-","-","-","-","-","-"
"2621 熱間圧延鋼材","1.2820949954545478E-4","0.0046272301642647715","1.7720488724156402E-4","0.0017070417037708635","2.503056040112076E-4","0.014721383853683013","0.018512567185145195","0.03536519119454166","0.0024735267061320935","0.9220373392016642","1.0"
"2622 鋼管","7.503063984585207E-5","0.0027801811287125294","1.2275081893094723E-4","0.0010593902921707888","1.1944115377640074E-4","0.003849458499356657","0.005701750887622161","0.0015842587023395327","0.004016092005969281","0.9806916458712758","1.0"
"2623 冷延・めっき鋼材","1.5951786067324066E-4","0.005257831427875482","1.3459664866732378E-4","0.0014198999348894212","2.87634366893259E-4","0.006687127419448482","0.010028154224598788","0.021884432814261244","0.003925018935386117","0.9502157863673066","1.0"
"2631 鋳鍛造品","1.2121147932327681E-5","2.840293201305136E-4","5.774571861691752E-6","5.506377008968456E-5","1.88931193131394E-5","9.980594022643925E-4","0.004252786563226365","3.61090459395169E-4","8.910155297277208E-4","0.9931211661160589","1.0"
"2699 その他の鉄鋼製品","1.7071323384458995E-4","0.004137065365030662","1.2537740859194218E-4","0.0013514197865755447","2.8547383496172314E-4","0.004184341388549658","0.008993242801412024","0.004203733225195464","0.0023616467564576784","0.9741869861993807","1.0"
"2711 非鉄金属製錬・精製","1.5101101925241856E-4","0.023100516624981356","5.7093110733520495E-5","0.001060040999121231","1.0884147021315263E-4","0.0016801983684238888","0.005065703395346983","-0.002085055716082876","0.007742577378487568","0.9631190733495228","1.0"
"2712 非鉄金属屑","-","-","-","-","-","-","-","-","-","-","-"
"2721 電線・ケーブル","1.7491621692139242E-5","9.795331875687063E-4","1.6569394953867994E-5","2.7460299464369725E-4","7.427437886764268E-5","0.0028577344893063756","0.007131023476910121","-7.319620158211785E-4","0.005065907167715952","0.9843148253041626","1.0"
"2729 その他の非鉄金属製品","1.3071859757045014E-4","0.0023277069078169845","4.6373748925977486E-5","0.0022089118493464795","5.5395710925675114E-5","8.028549960806199E-4","0.002267363213958789","-0.0020464890787342802","0.012344381633603789","0.9818627824205054","1.0"
"2811 建設用金属製品","4.064526800580353E-5","0.003040086997620055","4.187226857941701E-5","6.75432394238372E-4","1.9565910852350652E-4","0.020835066377553103","0.024827306691565014","2.3466875717894584E-4","3.9673821525586223E-4","0.9497125239214799","1.0"
"2812 建築用金属製品","1.4957283274462282E-4","0.01224190121394591","1.4733737032434385E-4","0.0023637094702002367","6.71777006095323E-4","0.017587925241701087","0.047443588025002176","-3.760978102457957E-5","4.4535333107529414E-5","0.9193872632879033","1.0"
"2891 ガス・石油機器・暖厨房機器","0.004276375943987584","0.27464515222707064","0.0019281519172684863","0.030710981365444902","0.008864393975348876","0.13521875578604173","0.4344152497288972","6.890354708986424E-4","4.151527907844432E-4","0.10883675079425753","1.0"
"2899 その他の金属製品","0.0017334695426981656","0.023436564779935967","4.392647983527952E-4","0.006038464074679694","0.0017234138438893206","0.00853025092947903","0.01871624026175817","-0.0016779505020224344","0.003178404654357923","0.9378818776168715","1.0"
"2911 ボイラ・原動機","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.006299212598425197","0.9937007874015747","1.0"
"2912 ポンプ・圧縮機","1.4382635997481254E-7","2.2974219401653143E-5","1.418194206773991E-7","1.8533439785586328E-6","4.866574458029597E-7","9.660925684968186E-5","1.7052590512147567E-4","1.515963323330619E-6","0.009323594194143062","0.9903821548139559","1.0"
"2913 運搬機械","1.965843477780163E-5","4.748787357361042E-4","2.0050292488889343E-5","1.8154814667813098E-4","4.349234885609716E-5","0.002863582245587844","0.036989311349764485","1.021612848318102E-4","0.001803789008847183","0.9575015281524316","1.0"
"2914 冷凍機・温湿調整装置","7.795158579803825E-6","1.8617958891156423E-4","8.000478215964034E-6","6.410892248147848E-5","1.4531180254982226E-5","8.4634809769443E-4","0.014378163926209577","0.001677844985680762","0.0013117719756946414","0.9815052556862768","1.0"
"2919 その他のはん用機械","8.486279646720111E-5","0.0029571729913900058","7.919428891816043E-5","5.648159298410472E-4","2.3269075635051588E-4","0.0019009150193281163","0.06043278123242083","0.005661322351058504","0.016906867682650893","0.9111793769515747","1.0"
"3011 農業用機械","4.6230153919556276E-5","0.0011015821951367562","4.752021159866804E-5","3.728999589354966E-4","8.387964537719163E-5","2.5250740884342755E-4","0.048795857060547385","0.0031734084283681907","0.008851957411158462","0.9372741575261149","1.0"
"3012 建設・鉱山機械","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011527377521613832","0.9884726224783862","1.0"
"3013 繊維機械","5.284540559316783E-6","2.899743577940442E-4","5.432006261918312E-6","4.262596574935023E-5","9.58823085184165E-6","2.43844405104249E-5","7.448898067860437E-4","-0.002211003410286211","0.0068783786635274406","0.9942104453982458","1.0"
"3014 生活関連産業用機械","5.9165088492786483E-5","0.00140979863858454","6.081609698560396E-5","4.772352501305898E-4","1.0734869388755703E-4","3.0957316919126527E-4","0.023599844563807905","0.00409071076215062","0.012451407797327242","0.957434099939442","1.0"
"3015 基礎素材産業用機械","1.3196752241610599E-4","0.003189318374736344","1.3456294352435816E-4","0.0012238880391297119","2.9371900546051156E-4","0.03561293524392066","0.6540428709468623","0.007917955983107022","0.013583552051651107","0.28386922988919183","1.0"
"3016 金属加工機械","2.9397719104385056E-4","0.007705455455153815","2.91461695948446E-4","0.0023679538104298603","5.608541859655245E-4","0.0025569640660846956","0.13719073817984478","-0.006804787152417285","0.009000471257394794","0.8468369113105515","1.0"
"3017 半導体製造装置","7.26730435626134E-8","1.7316691394598138E-6","7.470099307096912E-8","5.861926180771886E-7","1.318574264996027E-7","2.9798811986221545E-5","0.01945364676071695","4.796711235033288E-5","0.01986634567969191","0.960599644542034","1.0"
"3019 その他の生産用機械","7.704716019869289E-5","0.0018372520720580734","7.917805551805803E-5","6.227552230513372E-4","1.403315840524996E-4","0.0013361905632727953","0.055371875318148585","8.803183781270191E-4","0.010994626131021878","0.9286604255145511","1.0"
"3111 事務用機械","0.006891905853636005","0.11537396865926383","0.004281540964687269","0.03701310221957065","0.0075268359923041815","0.025096003311667992","0.25913549041275535","0.01782985411839717","0.007819257346408013","0.5190320411213095","1.0"
"3112 サービス用機器","0.0011914313410596577","0.00877968969846499","7.708788650030193E-5","6.020892106926727E-4","1.3365469186427494E-4","0.0022712032508495636","0.18978929489898977","1.978673119682888E-4","1.5514024942660832E-5","0.7969421676846677","1.0"
"3113 計測機器","8.189166206908454E-5","0.003990082387575468","1.679523725765002E-5","0.001045636682383397","7.113578606205333E-5","0.0018598873219516376","0.017494936919754966","7.292924413704458E-4","0.014632909047582214","0.9600774325139931","1.0"
"3114 医療用機械器具","6.356789358650298E-4","0.013974265612405992","9.747383884512562E-4","0.05853845297405266","2.5081827767571357E-4","0.005164024221252816","0.05283145101562684","0.0010303368624893896","0.005588784123930506","0.8610114495882498","1.0"
"3115 光学機械・レンズ","1.346497726291014E-4","0.07864309039884722","1.3658694551736602E-4","0.00344245852353793","0.0013997944258305913","0.002960626123208227","0.05647348429630089","-0.024812199630448506","3.825744457331822E-5","0.8815832517000037","1.0"
"3116 武器","-","-","-","-","-","-","-","-","-","-","-"
"3211 電子デバイス","8.330383655701664E-4","0.02852284777701605","5.438431115914708E-4","0.004880864668706498","0.0010170542794415687","0.00460912277506461","0.020045933925140078","0.005739795004200141","0.02609908806505087","0.9077084120282185","1.0"
"3299 その他の電子部品","6.885235899912247E-4","0.027041648478282086","6.332503674056658E-4","0.009665003081330023","0.002590565858645031","0.002866095606433257","0.006142159445709692","-9.189280456622611E-4","0.008483881621425533","0.9428077999964397","1.0"
"3311 産業用電気機器","1.674868114510179E-4","0.008586920538682206","1.570582081303007E-4","0.0016600199191133089","4.286975455265559E-4","0.013002075604226289","0.203236393787828","8.589104815223433E-4","0.008566579715983296","0.7633358573875366","1.0"
"3321 民生用電気機器","3.2423841749095615E-5","0.002501440696357337","5.418223186398311E-7","1.409032254949655E-5","5.724097087098092E-6","1.6109581777431275E-5","2.9547793510354764E-4","-1.0510072503505974E-5","3.236404608022799E-4","0.9968210613147586","1.0"
"3331 電子応用装置","1.8560409972932535E-4","0.007654868035980425","1.828060868316667E-4","0.012310971596442236","0.002953598760042038","0.03149815662793283","0.11572822368142327","0.0015965660763038517","0.00834319663470653","0.8195460084006078","1.0"
